Item_Artifact_Kill_Shuriken,"怨恨飞刀","Kunai of Resentment","Kunai Kebencian","Kunai de Ressentimento","Кунаи злобы","怨恨飛刀"
Item_Artifact_Kill_Shuriken_Des,"击杀敌人或受伤时产生飞刀","Generates a kunai upon killing an enemy or receiving damage.","Menghasilkan kunai setelah menyingkirkan musuh atau menerima damage.","Gera uma kunai ao matar um inimigo ou ao receber dano.","Создает кунаи при убийстве противника или получении урона.","擊殺敵人或受傷時產生飛刀"
Item_Artifact_SurroundingShuriken,"护身飞刀","Kunai of Protection","Kunai Perlindungan","Kunai de Proteção","Кунаи защиты","護身飛刀"
Item_Artifact_SurroundingShuriken_Des," 产生围绕着自己的飞刀"," Generates a kunai to surround yourself."," Menghasilkan kunai untuk mengelilingi dirimu.","Gera uma kunai para cercar você.","Создает кунаи, защищающий персонажа.","產生圍繞著自己的飛刀"
Item_Artifact_Attack_DoubleAttack,"二连击","Double Strike","Sambaran Ganda","Golpe Duplo","Двойной удар","二連擊"
Item_Artifact_Attack_DoubleAttack_Des,"每次攻击时敌人受到两次伤害","Each attack deals damage twice to the target.","Setiap serangan menimbulkan damage dua kali pada target.","Cada ataque causa dano ao alvo duas vezes.","Каждая атака наносит цели двойной урон.","每次攻擊時敵人受到兩次傷害"
Item_Artifact_Armor_Heavy,"重甲","Heavy Armor","Zirah Berat","Armadura Pesada","Тяжелая броня","重甲"
Item_Artifact_Armor_Heavy_Des,"大幅免伤，降低速度","Greatly reduces damage taken but also reduces speed.","Mengurangi damage yang diterima secara signifikan, tetapi juga mengurangi kecepatan.","Reduz muito o dano sofrido mas também reduz a velocidade.","Значительно снижает получаемый урон, но также снижает скорость.","大幅免傷，降低速度"
Item_Attributes_AttackCrit_S,"暴击几率超小提升","Crit Boost (S)","Boost Crit (S)","Aumento de Crít (P)","Бонус к крит. удару (М)","暴擊幾率超小提升"
Item_Attributes_AttackCrit_S_Des,"暴击几率提升2%","Crit Chance +2%","Peluang Crit +2%","Chance de Crít +2%","Шанс крит. удара +2%","暴擊幾率提升2%"
Item_Attributes_AttackSpeed_S,"攻速超小提升","ATK Speed Boost (S)","Boost Kecepatan ATK (S)","Aumento de Velocidade de ATQ (P)","Бонус к скорости АТК (М)","攻速超小提升"
Item_Attributes_AttackSpeed_S_Des,"攻速提升2%","ATK Speed +2%","Kecepatan ATK +2%","Velocidade de ATQ +2%","Скорость атаки +2%","攻速提升2%"
Item_Artifact_Armor_Dull,"迟钝铠甲","Defensive Armor","Zirah Pertahanan","Armadura Defensiva","Защитная броня","遲鈍鎧甲"
Item_Artifact_Armor_Dull_Des,"牺牲攻击，增强防御","Reduces ATK to increase defense.","Mengurangi ATK untuk meningkatkan pertahanan.","Reduz o ATQ para aumentar a defesa.","Уменьшает ATK для повышения защиты.","犧牲攻擊，增强防禦"
Item_Artifact_Armor_AfterHit,"受伤守护","Shield of Invulnerability","Perisai Kekebalan","Escudo de Invulnerabilidade","Щит неуязвимости","受傷守護"
Item_Artifact_Armor_AfterHit_Des,"受到伤害后获得短暂的护盾","Generates a temporary shield upon receiving damage.","Menghasilkan perisai sementara saat menerima damage.","Gera um escudo temporário ao receber dano.","Создает временный щит при получении урона.","受到傷害後獲得短暫的護盾"
Item_Artifact_Armor_Angry,"狂怒","Berserk","Berserk","Furor","Берсерк","狂怒"
Item_Artifact_Armor_Angry_Des,"受伤后短暂进入狂怒状态，增加8%攻击力","Temporarily increases ATK by 8% upon receiving damage.","Sementara meningkatkan ATK sebesar 8% saat menerima damage.","Aumenta temporariamente o ATQ em 8% ao receber dano.","Временно увеличивает ATK на 8% при получении урона.","受傷後短暫進入狂怒狀態，新增8%攻擊力"
Item_Artifact_Special_ThunderBuff,"电霸符","Electrocution Charm","Pesona Sengatan","Amuleto de Eletrocussão","Амулет электричества","電霸符"
Item_Artifact_Special_ThunderBuff_Des,"电击周围敌人，增强闪电威力","Electrocutes surrounding enemies and boosts your lightning power.","Menyengat musuh di sekeliling dengan listrik dan memacu kekuatan petir kamu.","Eletrocuta os inimigos ao redor e aumenta o poder do seu relâmpago.","Поражает окружающих врагов электричеством и увеличивает вашу силу молнии.","電擊周圍敵人，增强閃電威力"
Item_Artifact_AddGold_S,"小钱袋","Small Gold Sack","Karung Emas Kecil","Saco de Ouro Pequeno","Маленький мешочек с золотом","小錢袋"
Item_Artifact_AddGold_S_Des,"+5金币","Gold +5","Emas +5","Ouro +5","Золото +5","+5金幣"
