Column1,Column2,Column3,Column4,Column5,Column6,Column7
Column1,Column2,Column3,Column4,Column5,Column6,Column7
Key,中文,英文,印尼语,巴葡,俄语,中文繁体
Item_Orb_OrbOfFire,火焰法球,Fire Orb,Orb Api,Orbe de Fogo,Огненная сфера,火焰法球
Item_Orb_OrbOfLight,光明法球,Light Orb,Orb Cahaya,Orbe de Luz,Сфера света,光明法球
Item_Orb_OrbOfIce,寒冰法球,Ice Orb,Orb Es,Orbe de Gelo,Ледяная сфера,寒冰法球
Item_Orb_OrbOfThunder,闪电法球,Lightning Orb,Orb Petir,Orbe de Relâmpagos,Сфера молний,閃電法球
Item_Orb_OrbOfThorn,荆棘法球,Thorn Orb,Orb Duri,Orbe de Espinhos,Сфера шипов,荊棘法球
Item_Artifact_Armor_IceArmor,寒冰铠甲,Ice Armor,Zirah Es,Armadura de Gelo,Ледяная броня,寒冰鎧甲
Item_Artifact_Armor_Gold,点金铠甲,Gold Armor,Zirah Emas,Armadura de Ouro,Золотая броня,點金鎧甲
Item_Artifact_Armor_LightArmor,光之铠甲,Light Armor,Zirah Cahaya,Armadura de Luz,Броня света,光之鎧甲
Item_Artifact_Armor_FireArmor,火焰铠甲,Fire Armor,Zirah Api,Armadura de Fogo,Огненная броня,火焰鎧甲
Item_Artifact_Armor_Thunder,雷电铠甲,Lightning Armor,Zirah Petir,Armadura de Relâmpagos,Броня молний,雷電鎧甲
Item_Artifact_Armor_FireFly,萤火铠甲,Firefly Armor,Zirah Kunang-kunang,Armadura de Vaga-lumes,Броня светлячков,螢火鎧甲
Item_Artifact_Armor_Thorn,荆棘铠甲,Thorn Armor,Zirah Duri,Armadura de Espinhos,Броня шипов,荊棘鎧甲
Item_Artifact_Armor_Shield,守护铠甲,Armor of Protection,Zirah PerlindunganArmadura de Proteção,Armadura de Proteção,Защитная броня,守護鎧甲
Item_Artifact_FootPrint_Fire,火焰之靴,Fire Boots,Bot Api,Botas de Fogo,Огненные сапоги,火焰之靴
Item_Artifact_FootPrint_Bomb,光弹之靴,Light Boots,Bot Cahaya,Botas de Luz,Сапоги света,光彈之靴
Item_Artifact_FootPrint_Spike,荆棘之靴,Thorn Boots,Bot Duri,Botas de Espinhos,Сапоги шипов,荊棘之靴
Item_Artifact_FootPrint_Icy,寒冰之靴,Ice Boots,Bot Es,Botas de Gelo,Ледяные сапоги,寒冰之靴
Item_Artifact_Kill_Thorn,击杀荆棘,Thorns on Kill,Duri saat Bunuh,Espinhos ao Abater,Шипы при убийстве,擊殺荊棘
Item_Artifact_Kill_FireFly,击杀萤火,Fireflies on Kill,Kunang-kunang saat Bunuh,Vaga-lumes ao Abater,Светлячки при убийстве,擊殺螢火
Item_Artifact_Kill_ExpFire,击杀爆炸,Fire on Kill,Api saat Bunuh,Fogo ao Abater,Огонь при убийстве,擊殺爆炸
Item_Artifact_Kill_ReduceCD,击杀冷却,CD Reduction on Kill,Pengurangan CD saat Bunuh,Redução de Recarga ao Abater,Ускор. восстан. при убийстве,擊殺冷卻
