ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,330,66,0,0,300,60,1.25,1.1,1.25,1.1
1,1,413,83,0,0,,,,,,
1,2,454,91,0,0,,,,,,
1,3,499,100,0,0,,,,,,
2,1,516,103,0,0,,,,,,
2,2,567,113,0,0,,,,,,
2,3,624,125,0,0,,,,,,
2,4,686,137,0,0,,,,,,
3,1,645,129,0,0,,,,,,
3,2,709,142,0,0,,,,,,
3,3,780,156,0,0,,,,,,
3,4,858,172,0,0,,,,,,
4,1,806,161,0,0,,,,,,
4,2,886,177,0,0,,,,,,
4,3,975,195,0,0,,,,,,
4,4,1072,214,0,0,,,,,,
4,5,1180,236,0,0,,,,,,
5,1,1007,201,0,0,,,,,,
5,2,1108,222,0,0,,,,,,
5,3,1219,244,0,0,,,,,,
5,4,1340,268,0,0,,,,,,
5,5,1474,295,0,0,,,,,,
