ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,195,55,0,0,150,50,1.3,1.3,1.1,1.1
1,1,254,61,0,0,,,,,,
1,2,330,67,0,0,,,,,,
1,3,428,73,0,0,,,,,,
2,1,330,67,0,0,,,,,,
2,2,428,73,0,0,,,,,,
2,3,557,81,0,0,,,,,,
2,4,724,89,0,0,,,,,,
3,1,428,73,0,0,,,,,,
3,2,557,81,0,0,,,,,,
3,3,724,89,0,0,,,,,,
3,4,941,97,0,0,,,,,,
4,1,557,81,0,0,,,,,,
4,2,724,89,0,0,,,,,,
4,3,941,97,0,0,,,,,,
4,4,1224,107,0,0,,,,,,
4,5,1591,118,0,0,,,,,,
5,1,724,150,0,0,,,,,,
5,2,1400,200,0,0,,,,,,
5,3,3000,200,0,0,,,,,,
5,4,4000,250,0,0,,,,,,
5,5,7000,250,0,0,,,,,,
