ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,286,66,0,0,220,60,1.3,1.3,1.1,1.1
1,1,372,73,0,0,,,,,,
1,2,483,80,0,0,,,,,,
1,3,628,88,0,0,,,,,,
2,1,483,80,0,0,,,,,,
2,2,628,88,0,0,,,,,,
2,3,817,97,0,0,,,,,,
2,4,1062,106,0,0,,,,,,
3,1,628,88,0,0,,,,,,
3,2,817,97,0,0,,,,,,
3,3,1062,106,0,0,,,,,,
3,4,1380,117,0,0,,,,,,
4,1,817,97,0,0,,,,,,
4,2,1062,106,0,0,,,,,,
4,3,1380,117,0,0,,,,,,
4,4,1795,129,0,0,,,,,,
4,5,2333,141,0,0,,,,,,
5,1,1062,106,0,0,,,,,,
5,2,1500,117,0,0,,,,,,
5,3,2000,129,0,0,,,,,,
5,4,3000,141,0,0,,,,,,
5,5,6000,156,0,0,,,,,,
