ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,455,55,0,0,350,50,1.3,1.3,1.1,1.1
1,1,592,61,0,0,,,,,,
1,2,769,67,0,0,,,,,,
1,3,1000,73,0,0,,,,,,
2,1,769,67,0,0,,,,,,
2,2,1000,73,0,0,,,,,,
2,3,1300,81,0,0,,,,,,
2,4,1689,89,0,0,,,,,,
3,1,1000,73,0,0,,,,,,
3,2,1300,81,0,0,,,,,,
3,3,1689,89,0,0,,,,,,
3,4,2196,97,0,0,,,,,,
4,1,1300,81,0,0,,,,,,
4,2,1689,89,0,0,,,,,,
4,3,2196,97,0,0,,,,,,
4,4,2855,107,0,0,,,,,,
4,5,3712,118,0,0,,,,,,
5,1,1689,89,0,0,,,,,,
5,2,3000,97,0,0,,,,,,
5,3,5000,107,0,0,,,,,,
5,4,6000,118,0,0,,,,,,
5,5,13000,130,0,0,,,,,,
