ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,9100,66,0,0,7000,60,1.3,1.3,1.1,1.1
1,1,11830,73,0,0,,,,,,
1,2,15379,80,0,0,,,,,,
1,3,19993,88,0,0,,,,,,
2,1,15379,80,0,0,,,,,,
2,2,19993,88,0,0,,,,,,
2,3,25991,97,0,0,,,,,,
2,4,33788,106,0,0,,,,,,
3,1,19993,88,0,0,,,,,,
3,2,25991,97,0,0,,,,,,
3,3,33788,106,0,0,,,,,,
3,4,43924,117,0,0,,,,,,
4,1,25991,97,0,0,,,,,,
4,2,33788,106,0,0,,,,,,
4,3,43924,117,0,0,,,,,,
4,4,57101,129,0,0,,,,,,
4,5,70000,220,0,0,,,,,,
5,1,33788,106,0,0,,,,,,
5,2,43924,117,0,0,,,,,,
5,3,57101,129,0,0,,,,,,
5,4,74231,141,0,0,,,,,,
5,5,96501,156,0,0,,,,,,
