ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,9100,55,0,0,7000,50,1.3,1.3,1.1,1.1
1,1,11830,61,0,0,,,,,,
1,2,15379,67,0,0,,,,,,
1,3,19993,73,0,0,,,,,,
2,1,15379,67,0,0,,,,,,
2,2,19993,73,0,0,,,,,,
2,3,25991,81,0,0,,,,,,
2,4,20000,89,0,0,,,,,,
3,1,19993,73,0,0,,,,,,
3,2,25991,81,0,0,,,,,,
3,3,33788,89,0,0,,,,,,
3,4,30000,120,0,0,,,,,,
4,1,25991,81,0,0,,,,,,
4,2,33788,89,0,0,,,,,,
4,3,43924,97,0,0,,,,,,
4,4,57101,107,0,0,,,,,,
4,5,74231,118,0,0,,,,,,
5,1,33788,89,0,0,,,,,,
5,2,43924,97,0,0,,,,,,
5,3,57101,107,0,0,,,,,,
5,4,74231,118,0,0,,,,,,
5,5,96501,130,0,0,,,,,,
