ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,358,83,0,0,275,75,1.3,1.3,1.1,1.1
1,1,465,91,0,0,,,,,,
1,2,604,100,0,0,,,,,,
1,3,785,110,0,0,,,,,,
2,1,604,100,0,0,,,,,,
2,2,785,110,0,0,,,,,,
2,3,1021,121,0,0,,,,,,
2,4,1327,133,0,0,,,,,,
3,1,785,110,0,0,,,,,,
3,2,1021,121,0,0,,,,,,
3,3,1327,133,0,0,,,,,,
3,4,1726,146,0,0,,,,,,
4,1,1021,121,0,0,,,,,,
4,2,1327,133,0,0,,,,,,
4,3,1726,146,0,0,,,,,,
4,4,2243,161,0,0,,,,,,
4,5,2916,177,0,0,,,,,,
5,1,1327,133,0,0,,,,,,
5,2,1726,146,0,0,,,,,,
5,3,2243,161,0,0,,,,,,
5,4,2916,177,0,0,,,,,,
5,5,3791,195,0,0,,,,,,
