ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,5200,83,0,0,4000,75,1.3,1.3,1.1,1.1
1,1,6760,91,0,0,,,,,,
1,2,8788,100,0,0,,,,,,
1,3,11424,110,0,0,,,,,,
2,1,8788,100,0,0,,,,,,
2,2,11424,110,0,0,,,,,,
2,3,14852,121,0,0,,,,,,
2,4,19307,133,0,0,,,,,,
3,1,11424,110,0,0,,,,,,
3,2,14852,121,0,0,,,,,,
3,3,19307,133,0,0,,,,,,
3,4,25099,146,0,0,,,,,,
4,1,32000,121,0,0,,,,,,
4,2,32000,133,0,0,,,,,,
4,3,32000,200,0,0,,,,,,
4,4,32000,161,0,0,,,,,,
4,5,32000,177,0,0,,,,,,
5,1,19307,133,0,0,,,,,,
5,2,25099,146,0,0,,,,,,
5,3,32629,161,0,0,,,,,,
5,4,42418,177,0,0,,,,,,
5,5,55143,195,0,0,,,,,,
