ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,3900,55,0,0,3000,50,1.3,1.3,1.1,1.1
1,1,5070,61,0,0,,,,,,
1,2,6591,67,0,0,,,,,,
1,3,5500,45,0,0,,,,,,
2,1,6591,67,0,0,,,,,,
2,2,8568,73,0,0,,,,,,
2,3,11139,81,0,0,,,,,,
2,4,14480,89,0,0,,,,,,
3,1,8568,73,0,0,,,,,,
3,2,11139,81,0,0,,,,,,
3,3,14480,89,0,0,,,,,,
3,4,18825,97,0,0,,,,,,
4,1,11139,81,0,0,,,,,,
4,2,14480,89,0,0,,,,,,
4,3,18825,97,0,0,,,,,,
4,4,24472,107,0,0,,,,,,
4,5,31813,118,0,0,,,,,,
5,1,14480,89,0,0,,,,,,
5,2,18825,97,0,0,,,,,,
5,3,24472,107,0,0,,,,,,
5,4,31813,118,0,0,,,,,,
5,5,41358,130,0,0,,,,,,
