ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,260,77,0,0,200,70,1.3,1.3,1.1,1.1
1,1,338,85,0,0,,,,,,
1,2,439,93,0,0,,,,,,
1,3,571,102,0,0,,,,,,
2,1,439,93,0,0,,,,,,
2,2,571,102,0,0,,,,,,
2,3,743,113,0,0,,,,,,
2,4,965,124,0,0,,,,,,
3,1,571,102,0,0,,,,,,
3,2,743,113,0,0,,,,,,
3,3,965,124,0,0,,,,,,
3,4,1255,136,0,0,,,,,,
4,1,743,113,0,0,,,,,,
4,2,965,124,0,0,,,,,,
4,3,1255,136,0,0,,,,,,
4,4,1631,150,0,0,,,,,,
4,5,2121,165,0,0,,,,,,
5,1,965,124,0,0,,,,,,
5,2,1255,136,0,0,,,,,,
5,3,1631,150,0,0,,,,,,
5,4,2121,165,0,0,,,,,,
5,5,2757,182,0,0,,,,,,
