ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,195,3,0,0,150,3,1.3,1.3,1.1,1.1
1,1,254,4,0,0,,,,,,
1,2,330,4,0,0,,,,,,
1,3,428,4,0,0,,,,,,
2,1,330,4,0,0,,,,,,
2,2,428,4,0,0,,,,,,
2,3,557,5,0,0,,,,,,
2,4,724,5,0,0,,,,,,
3,1,428,4,0,0,,,,,,
3,2,557,5,0,0,,,,,,
3,3,724,5,0,0,,,,,,
3,4,941,6,0,0,,,,,,
4,1,557,2,0,0,,,,,,
4,2,650,3,0,0,,,,,,
4,3,900,4,0,0,,,,,,
4,4,1500,4,0,0,,,,,,
4,5,2500,8,0,0,,,,,,
5,1,724,5,0,0,,,,,,
5,2,941,6,0,0,,,,,,
5,3,1224,6,0,0,,,,,,
5,4,1591,7,0,0,,,,,,
5,5,2068,8,0,0,,,,,,
