ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,234,50,0,0,180,60,1.3,1.3,1.1,1.1
1,1,304,35,0,0,,,,,,
1,2,395,35,0,0,,,,,,
1,3,514,35,0,0,,,,,,
2,1,395,80,0,0,,,,,,
2,2,514,88,0,0,,,,,,
2,3,668,97,0,0,,,,,,
2,4,869,106,0,0,,,,,,
3,1,514,88,0,0,,,,,,
3,2,668,97,0,0,,,,,,
3,3,869,106,0,0,,,,,,
3,4,1129,117,0,0,,,,,,
4,1,668,97,0,0,,,,,,
4,2,869,106,0,0,,,,,,
4,3,1129,117,0,0,,,,,,
4,4,1468,129,0,0,,,,,,
4,5,1909,141,0,0,,,,,,
5,1,869,106,0,0,,,,,,
5,2,1129,117,0,0,,,,,,
5,3,1468,129,0,0,,,,,,
5,4,1909,141,0,0,,,,,,
5,5,2481,156,0,0,,,,,,
