ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,390,110,0,0,300,100,1.3,1.3,1.1,1.1
1,1,507,121,0,0,,,,,,
1,2,659,133,0,0,,,,,,
1,3,857,146,0,0,,,,,,
2,1,659,133,0,0,,,,,,
2,2,857,146,0,0,,,,,,
2,3,1114,161,0,0,,,,,,
2,4,1448,177,0,0,,,,,,
3,1,857,146,0,0,,,,,,
3,2,1114,161,0,0,,,,,,
3,3,1448,177,0,0,,,,,,
3,4,1882,195,0,0,,,,,,
4,1,1114,161,0,0,,,,,,
4,2,1448,177,0,0,,,,,,
4,3,1882,195,0,0,,,,,,
4,4,2447,214,0,0,,,,,,
4,5,3181,236,0,0,,,,,,
5,1,1448,177,0,0,,,,,,
5,2,1882,195,0,0,,,,,,
5,3,2447,214,0,0,,,,,,
5,4,3181,236,0,0,,,,,,
5,5,4136,259,0,0,,,,,,
