ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,1300,55,0,0,1000,50,1.3,1.3,1.1,1.1
1,1,1690,61,0,0,,,,,,
1,2,2197,67,0,0,,,,,,
1,3,2856,73,0,0,,,,,,
2,1,2197,67,0,0,,,,,,
2,2,2856,73,0,0,,,,,,
2,3,3713,81,0,0,,,,,,
2,4,4827,89,0,0,,,,,,
3,1,2856,73,0,0,,,,,,
3,2,3713,81,0,0,,,,,,
3,3,4827,89,0,0,,,,,,
3,4,6275,97,0,0,,,,,,
4,1,3713,81,0,0,,,,,,
4,2,4827,89,0,0,,,,,,
4,3,6275,97,0,0,,,,,,
4,4,8157,107,0,0,,,,,,
4,5,10604,118,0,0,,,,,,
5,1,4827,89,0,0,,,,,,
5,2,6275,97,0,0,,,,,,
5,3,8157,107,0,0,,,,,,
5,4,10604,118,0,0,,,,,,
5,5,13786,130,0,0,,,,,,
