ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,325,94,0,0,250,85,1.3,1.3,1.1,1.1
1,1,423,103,0,0,,,,,,
1,2,549,113,0,0,,,,,,
1,3,714,124,0,0,,,,,,
2,1,549,113,0,0,,,,,,
2,2,714,124,0,0,,,,,,
2,3,928,137,0,0,,,,,,
2,4,1207,151,0,0,,,,,,
3,1,714,124,0,0,,,,,,
3,2,928,137,0,0,,,,,,
3,3,1207,151,0,0,,,,,,
3,4,1569,166,0,0,,,,,,
4,1,928,137,0,0,,,,,,
4,2,1207,151,0,0,,,,,,
4,3,1569,166,0,0,,,,,,
4,4,2039,182,0,0,,,,,,
4,5,2651,200,0,0,,,,,,
5,1,1207,151,0,0,,,,,,
5,2,1569,166,0,0,,,,,,
5,3,2039,182,0,0,,,,,,
5,4,2651,200,0,0,,,,,,
5,5,3446,220,0,0,,,,,,
