ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,455,94,0,0,350,85,1.3,1.3,1.1,1.1
1,1,600,50,0,0,,,,,,
1,2,600,50,0,0,,,,,,
1,3,600,50,0,0,,,,,,
2,1,769,113,0,0,,,,,,
2,2,1000,124,0,0,,,,,,
2,3,1300,137,0,0,,,,,,
2,4,1689,151,0,0,,,,,,
3,1,1000,124,0,0,,,,,,
3,2,1300,137,0,0,,,,,,
3,3,1689,151,0,0,,,,,,
3,4,2196,166,0,0,,,,,,
4,1,1300,137,0,0,,,,,,
4,2,1689,151,0,0,,,,,,
4,3,2196,166,0,0,,,,,,
4,4,2855,182,0,0,,,,,,
4,5,3712,200,0,0,,,,,,
5,1,1689,151,0,0,,,,,,
5,2,2196,166,0,0,,,,,,
5,3,2855,182,0,0,,,,,,
5,4,3712,200,0,0,,,,,,
5,5,4825,220,0,0,,,,,,
