ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,26,55,0,0,20,50,1.3,1.3,1.1,1.1
1,1,34,61,0,0,,,,,,
1,2,44,67,0,0,,,,,,
1,3,57,73,0,0,,,,,,
2,1,44,67,0,0,,,,,,
2,2,57,73,0,0,,,,,,
2,3,74,81,0,0,,,,,,
2,4,97,89,0,0,,,,,,
3,1,57,73,0,0,,,,,,
3,2,74,81,0,0,,,,,,
3,3,97,89,0,0,,,,,,
3,4,125,97,0,0,,,,,,
4,1,74,81,0,0,,,,,,
4,2,97,89,0,0,,,,,,
4,3,125,97,0,0,,,,,,
4,4,163,107,0,0,,,,,,
4,5,212,118,0,0,,,,,,
5,1,97,89,0,0,,,,,,
5,2,125,97,0,0,,,,,,
5,3,163,107,0,0,,,,,,
5,4,212,118,0,0,,,,,,
5,5,276,130,0,0,,,,,,
