ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,286,72,0,0,220,65,1.3,1.3,1.1,1.1
1,1,372,79,0,0,,,,,,
1,2,483,87,0,0,,,,,,
1,3,628,95,0,0,,,,,,
2,1,483,87,0,0,,,,,,
2,2,628,95,0,0,,,,,,
2,3,817,105,0,0,,,,,,
2,4,1062,115,0,0,,,,,,
3,1,628,70,0,0,,,,,,
3,2,817,80,0,0,,,,,,
3,3,1062,90,0,0,,,,,,
3,4,1380,100,0,0,,,,,,
4,1,817,105,0,0,,,,,,
4,2,1062,115,0,0,,,,,,
4,3,1380,127,0,0,,,,,,
4,4,1795,139,0,0,,,,,,
4,5,2333,153,0,0,,,,,,
5,1,1062,115,0,0,,,,,,
5,2,1380,127,0,0,,,,,,
5,3,1795,139,0,0,,,,,,
5,4,2333,153,0,0,,,,,,
5,5,3033,169,0,0,,,,,,
