ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,200,55,0,0,200,50,1.3,1.3,1.1,1.1
1,1,280,35,0,0,,,,,,
1,2,340,35,0,0,,,,,,
1,3,400,35,0,0,,,,,,
2,1,439,67,0,0,,,,,,
2,2,571,73,0,0,,,,,,
2,3,743,81,0,0,,,,,,
2,4,965,89,0,0,,,,,,
3,1,571,73,0,0,,,,,,
3,2,743,81,0,0,,,,,,
3,3,965,89,0,0,,,,,,
3,4,1255,97,0,0,,,,,,
4,1,743,81,0,0,,,,,,
4,2,965,89,0,0,,,,,,
4,3,1255,97,0,0,,,,,,
4,4,1631,107,0,0,,,,,,
4,5,2121,118,0,0,,,,,,
5,1,965,89,0,0,,,,,,
5,2,1255,97,0,0,,,,,,
5,3,1631,107,0,0,,,,,,
5,4,2121,118,0,0,,,,,,
5,5,2757,130,0,0,,,,,,
